Staal	Toestel	Type	Prep	Concentratie
ref_mid_320_c	1	OUD	ML	269.8
ref_hoog_1000_a	1	OUD	ML	839.7
ref_hoog_1000_b	1	OUD	ML	843.6
ref_hoog_1000_c	1	OUD	ML	854.5
staal_123	1	OUD	ML	541.6
ref_laag_100_a	2	OUD	ML	86.5
ref_laag_100_b	2	OUD	ML	85.8
ref_laag_100_c	2	OUD	ML	85.2
ref_mid_320_a	2	OUD	ML	269.7
ref_mid_320_b	2	OUD	ML	273.3
ref_mid_320_c	2	OUD	ML	278.1
ref_hoog_1000_a	2	OUD	ML	850.9
ref_hoog_1000_b	2	OUD	ML	867.6
ref_hoog_1000_c	2	OUD	ML	859.1
staal_123	2	OUD	ML	549.1
ref_laag_100_a	3	OUD	ML	84.8
ref_laag_100_b	3	OUD	ML	84.8
ref_laag_100_c	3	OUD	ML	82.8
ref_mid_320_a	3	OUD	ML	278
ref_mid_320_b	3	OUD	ML	273.1
ref_mid_320_c	3	OUD	ML	275.7
ref_hoog_1000_a	3	OUD	ML	869.8
ref_hoog_1000_b	3	OUD	ML	867.8
ref_hoog_1000_c	3	OUD	ML	855.6
staal_123	3	OUD	ML	552.1
ref_laag_100_a	4	OUD	ML	83.6
ref_laag_100_b	4	OUD	ML	83.5
ref_laag_100_c	4	OUD	ML	84.7
ref_mid_320_a	4	OUD	ML	274.1
ref_mid_320_b	4	OUD	ML	270.6
ref_mid_320_c	4	OUD	ML	271
ref_hoog_1000_a	4	OUD	ML	849.7
ref_hoog_1000_b	4	OUD	ML	831.2
ref_hoog_1000_c	4	OUD	ML	844
staal_123	4	OUD	ML	506.5
ref_laag_100_a	5	OUD	ML	84.6
ref_laag_100_b	5	OUD	ML	83.7
ref_laag_100_c	5	OUD	ML	86.3
ref_mid_320_a	5	OUD	ML	272.5
ref_mid_320_b	5	OUD	ML	274.3
ref_mid_320_c	5	OUD	ML	273.2
ref_hoog_1000_a	5	OUD	ML	844.3
ref_hoog_1000_b	5	OUD	ML	831.5
ref_hoog_1000_c	5	OUD	ML	850.8
staal_123	5	OUD	ML	542.2
ref_laag_100_a	6	OUD	ML	84.4
ref_laag_100_b	6	OUD	ML	84.3
ref_laag_100_c	6	OUD	ML	84.8
ref_mid_320_a	6	OUD	ML	271.7
ref_mid_320_b	6	OUD	ML	272.2
ref_mid_320_c	6	OUD	ML	270.4
ref_hoog_1000_a	6	OUD	ML	850.4
ref_hoog_1000_b	6	OUD	ML	856.4
ref_hoog_1000_c	6	OUD	ML	858.4
staal_123	6	OUD	ML	548
ref_laag_100_a	7	OUD	ML	85
ref_laag_100_b	7	OUD	ML	84.4
ref_laag_100_c	7	OUD	ML	86.1
ref_mid_320_a	7	OUD	ML	269.2
ref_mid_320_b	7	OUD	ML	274.6
ref_mid_320_c	7	OUD	ML	270.9
ref_hoog_1000_a	7	OUD	ML	846.3
ref_hoog_1000_b	7	OUD	ML	852.3
ref_hoog_1000_c	7	OUD	ML	843.9
staal_123	7	OUD	ML	545.4
ref_laag_100_a	8	OUD	ML	86.2
ref_laag_100_b	8	OUD	ML	85.4
ref_laag_100_c	8	OUD	ML	85
ref_mid_320_a	8	OUD	ML	270.8
ref_mid_320_b	8	OUD	ML	270.6
ref_mid_320_c	8	OUD	ML	266.5
ref_hoog_1000_a	8	OUD	ML	838.2
ref_hoog_1000_b	8	OUD	ML	854
ref_hoog_1000_c	8	OUD	ML	857
staal_123	8	OUD	ML	542.3
ref_laag_100_a	9	NIEUW	ML	99.8
ref_laag_100_b	9	NIEUW	ML	99.1
ref_laag_100_c	9	NIEUW	ML	100.1
ref_mid_320_a	9	NIEUW	ML	321
ref_mid_320_b	9	NIEUW	ML	317.8
ref_mid_320_c	9	NIEUW	ML	327.2
ref_hoog_1000_a	9	NIEUW	ML	1005.9
ref_hoog_1000_b	9	NIEUW	ML	995.6
ref_hoog_1000_c	9	NIEUW	ML	1003.4
staal_123	9	NIEUW	ML	639.1
ref_laag_100_a	10	NIEUW	ML	100.1
ref_laag_100_b	10	NIEUW	ML	98.4
ref_laag_100_c	10	NIEUW	ML	99.5
ref_mid_320_a	10	NIEUW	ML	323.5
ref_mid_320_b	10	NIEUW	ML	322.7
ref_mid_320_c	10	NIEUW	ML	316.9
ref_hoog_1000_a	10	NIEUW	ML	1020.7
ref_hoog_1000_b	10	NIEUW	ML	984.4
ref_hoog_1000_c	10	NIEUW	ML	987.3
staal_123	10	NIEUW	ML	654.2
ref_laag_100_a	11	NIEUW	ML	99.2
ref_laag_100_b	11	NIEUW	ML	102.5
ref_laag_100_c	11	NIEUW	ML	99.6
ref_mid_320_a	11	NIEUW	ML	320.7
ref_mid_320_b	11	NIEUW	ML	319.1
ref_mid_320_c	11	NIEUW	ML	322.4
ref_hoog_1000_a	11	NIEUW	ML	998
ref_hoog_1000_b	11	NIEUW	ML	998.5
ref_hoog_1000_c	11	NIEUW	ML	1016.2
staal_123	11	NIEUW	ML	647.9
ref_laag_100_a	12	NIEUW	ML	99
ref_laag_100_b	12	NIEUW	ML	99.2
ref_laag_100_c	12	NIEUW	ML	97.7
ref_mid_320_a	12	NIEUW	ML	321.2
ref_mid_320_b	12	NIEUW	ML	324.6
ref_mid_320_c	12	NIEUW	ML	319.2
ref_hoog_1000_a	12	NIEUW	ML	1015
ref_hoog_1000_b	12	NIEUW	ML	999.1
ref_hoog_1000_c	12	NIEUW	ML	991.5
staal_123	12	NIEUW	ML	647.4
